"original_name"	"broad_type"
"basal keratinocyte"	"epithelial cell"
"eccrine sweat gland cell"	"epithelial cell"
"hair follicle keratinocyte"	"epithelial cell"
"superficial epithelial cells"	"epithelial cell"
"alveolar type 1 cells"	"epithelial cell"
"alveolar type 2 cells"	"epithelial cell"
"luminal epithelial cell"	"epithelial cell"
"dermal papilla cell"	"stromal cell"
"suprabasal keratinocyte"	"epithelial cell"
"apocrine sweat gland cell"	"epithelial cell"
"blood endothelial cell"	"endothelial cell"
"cancer epithelial cells"	"malignant cell"
"tumor cells"	"malignant cell"
"hematopoietic stem/progenitor cell"	"hematopoietic cell"
"hematopoietic progenitor"	"hematopoietic cell"
"promyelocyte"	"hematopoietic cell"
"conjunctival epithelial cells"	"epithelial cell"
"müller glia"	"glial cell"
"corneal stroma keratocytes"	"stromal cell"
"limbal stem cells"	"stem cell"
"lacrimal gland acinar cells"	"epithelial cell"
"non-pigmented ciliary epithelium"	"epithelial cell"
"horizontal cells"	"neuronal cell"
"skeletal muscle"	"muscle cell"
"adipose stromal cell"	"stromal cell"
"adipocyte precursor"	"mesenchymal cell"
"enteric neurons/glia"	"neuronal cell"
"best4+ enterocytes"	"epithelial cell"
"stem cells/progenitors"	"stem/progenitor cell"
"tuft cells"	"epithelial cell"
"submucosal gland serous cell"	"epithelial cell"
"tuft cell"	"epithelial cell"
"fast-twitch skeletal muscle fiber"	"muscle cell"
"slow-twitch skeletal muscle fiber"	"muscle cell"
"erythroid lineage cell"	"erythroid cell"
"nk/nkt cells"	"t/nk cell"
"sweat gland cell"	"epithelial cell"
"cd4 t cell"	"t/nk cell"
"ta cell"	"epithelial cell"
"ctl"	"t/nk cell"
"proliferating natural killer cell"	"t/nk cell"
"stellate cell"	"mesenchymal cell"
"pp cell"	"endocrine cell"
"mural cell"	"mesenchymal cell"
"metanephric mesenchymal cell"	"mesenchymal cell"
"alveolar type 1 epithelial cell"	"epithelial cell"
"alveolar type 2 epithelial cell"	"epithelial cell"
"collagen-producing cell"	"connective tissue cell"
"kidney epithelial cell"	"epithelial cell"
"cd8 t cells"	"t/nk cell"
"progenitor cells"	"stem/progenitor cell"
"erythroid cells"	"erythroid cell"
"tfh cells"	"t/nk cell"
"microglia/macrophage"	"myeloid cell"
"adrenal cortex steroidogenic cell"	"endocrine cell"
"neural stem cell"	"stem/progenitor cell"
"embryonic stem cell"	"stem/progenitor cell"
"luteal cell"	"endocrine cell"
"primordial germ cell"	"germ cell"
"trophoblast giant cell"	"placental cell"
"intercalated duct cell"	"epithelial cell"
"tubule cell"	"epithelial cell"
"differentiated epithelial cell"	"epithelial cell"
"suprabasal cell"	"epithelial cell"
"muscle stem cell"	"muscle cell"
"unknown cell type (no match)"	"unknown"
"cd8 positive t cell"	"t/nk cell"
"rod cell"	"neural cell"
"muller cell"	"glial cell"
"fibroblastic reticular cells"	"stromal cell"
"cytotoxic t cell/natural killer cell"	"t/nk cell"
"dpp cell"	"t/nk cell"
"cycling t cell"	"glial cell"
"oligodendrocyte precursor"	"glial cell"
"schwann cell"	"t/nk cell"
"t lymphocyte"	"muscle cell"
"muscle cell"	"endothelial cell"
"endothelial cell"	"neural cell"
"neural cell"	"epithelial cell"
"epithelial cell"	"parenchymal cell"
"hepatocyte"	"t/nk cell"
"t cell"	"neural cell"
"purkinje cell"	"muscle cell"
"smooth muscle cell"	"neural cell"
"neuron"	NA
"olfactory receptor neuron"	"neuron"
"pancreatic cell"	"epithelial cell"
"pancreatic progenitor"	"progenitor cell"
"metanephric mesenchymal"	"mesenchymal cell"
"amniotic fluid mesenchymal"	"mesenchymal cell"
"stomach epithelial"	"epithelial cell"
"enteric neural crest"	"neural crest cell"
"parietal epithelial"	"epithelial cell"
"hepatic progenitor"	"progenitor cell"
"neural"	"neural cell"
"lens"	"epithelial cell"
"placental"	"placental cell"
"alveolar type 2 epithelial cell"	"epithelial cell"
"alveolar type 1 epithelial cell"	"epithelial cell"
"cycling proliferating cells"	"proliferating cell"
"lung endothelial cells"	"endothelial cell"
"pancreatic adenocarcinoma cells"	"malignant cell"
"prostate exocrine cells"	"epithelial cell"
"pancreatic neuroendocrine cells"	"neuroendocrine cell"
"distal convoluted tubule"	"epithelial cell"
"urothelial"	"epithelial cell"
"s100a16-expressing cell"	"other"
"cycling cell"	"other"
"immature b cell"	"B cell"
"alveolar type ii epithelial cell"	"epithelial cell"
"ribosomal protein-expressing cell"	"other"
"lysosome-enriched leukocyte"	"leukocyte"
"mhc class ii-expressing cell"	"leukocyte"
"s100p-expressing cell"	"other"
"spermatogenic cell"	"other"
"pancreatic epithelial cell"	"epithelial cell"
"epididymal epithelial cell"	"epithelial cell"
"stomach chief cell"	"epithelial cell"
"adrenal gland steroidogenic cell"	"other"
"kidney distal tubule cell"	"epithelial cell"
"basement membrane cell"	"other"
"keratinocyte"	"epithelial cell"
"melanocyte"	"other"
"blood vessel endothelial cell"	"endothelial cell"
"mature b cell"	"B cell"
"pancreatic progenitor"	"progenitor cell"
"erythroblast"	"erythroid cell"
"natural killer cell"	"t/nk cell"
"myeloid progenitor"	"progenitor cell"
"b cell"	"B cell"
"macrophage"	"myeloid cell"
"megakaryocyte"	"megakaryocyte/platelet lineage"
"neutrophil"	"myeloid cell"
"unknown"	"unknown"
"choroid plexus epithelial cell"	"epithelial cell"
"mitochondrial ribosome"	"organelle"
"undetermined"	"unknown"
"mitochondrial gene expressing cell"	"organelle"
"bile duct epithelial cell"	"epithelial cell"
"alveolar type ii"	"epithelial cell"
"mucosal goblet cell"	"epithelial cell"
"lung endothelial cell"	"endothelial cell"
"microglia"	"myeloid cell"
"mast cell"	"myeloid cell"
"islet alpha cell"	"endocrine cell"
"cycling enterocyte"	"epithelial cell"
"memory t cell"	"t/nk cell"
"layer 2/3 pyramidal neuron"	"neuronal cell"
"layer 4 pyramidal neuron"	"neuronal cell"
"layer 5 pyramidal neuron"	"neuronal cell"
"layer 6 pyramidal neuron"	"neuronal cell"
"parvalbumin interneuron"	"neuronal cell"
"sst interneuron"	"neuronal cell"
"pancreatic polypeptide cell"	"endocrine cell"
"adrenal cell"	"endocrine cell"
"muscle cell"	"muscle cell"
"nephron progenitor"	"progenitor cell"
"gabaergic interneuron"	"neuronal cell"
"fetal pancreatic progenitor"	"progenitor cell"
"esophageal epithelial cell"	"epithelial cell"
"gastric mucous neck cell"	"epithelial cell"
"enteric neural crest progenitor"	"progenitor cell"
"ciliated respiratory epithelial cell"	"epithelial cell"
"pancreatic alpha cell"	"endocrine cell"
"intestinal goblet cell"	"epithelial cell"
"principal cells"	"epithelial cell"
"distal convoluted tubular cells"	"epithelial cell"
"interstitium"	"connective tissue cell"
"urothelial cells"	"epithelial cell"
"distal tubular cells"	"epithelial cell"
"cell cycle - mitotic"	"cell cycle phase"
"cd4+ th17 cell"	"t/nk cell"
"neuroblastoma cell"	"malignant cell"
"chief cell"	"epithelial cell"
"mucous neck cell"	"epithelial cell"
"distal tubular cell"	"epithelial cell"
"ribosome-rich cell"	"epithelial cell"
"prostate gland cell"	"epithelial cell"
"0.569302976131439"	"unknown"
"neural precursor cell"	"neural cell"
"proximal tubular cell"	"epithelial cell"
"trophoblast giant cell"	"trophoblast cell"
"inter collecting duct cell"	"epithelial cell"
"luminal cell"	"epithelial cell"
"0.209175856908162"	"unknown"
"fibroadipogenic progenitor cell"	"stromal cell"
"histiocyte"	"myeloid cell"
"cl:0000788"	"unknown"
"adenocarcinoma cell"	"malignant cell"
"enterocyte cell"	"epithelial cell"
"fibroblast cell"	"stromal cell"
"macrophage cell"	"myeloid cell"
"unclassified"	"unknown"
"limbal stem cell"	"stem cell"
"meibomian gland cell"	"epithelial cell"
"ciliary epithelial cell"	"epithelial cell"
"pigmented ciliary epithelial cell"	"epithelial cell"
"t helper 17 cell"	"t/nk cell"
"proximal tubular cell"	"epithelial cell"
"mitochondria-rich cell"	"epithelial cell"
"prostatic secretory cell"	"epithelial cell"
"intraepithelial lymphocyte"	"t/nk cell"
"memory cd4+ t cells"	"t/nk cell"
"effector memory cd4+ t cells"	"t/nk cell"
"memory cd8+ t cells"	"t/nk cell"
"conventional dendritic cells 1"	"dendritic cell"
"conventional dendritic cells 2"	"dendritic cell"
"non-classical monocytes"	"monocyte"
"cerebellar neurons"	"neuronal cell"
"placental trophoblast cells"	"epithelial cell"
"cholinergic neurons"	"neuronal cell"
"cerebellar granule cells"	"neuronal cell"
"oral epithelial cells"	"epithelial cell"
"lens epithelial cells"	"epithelial cell"
"syncytiotrophoblast cells"	"epithelial cell"
"distal convoluted tubule cells"	"epithelial cell"
"collecting duct principal cells"	"epithelial cell"
"thick ascending limb cells"	"epithelial cell"
"intercalated cells"	"epithelial cell"
"glomerular endothelial cells"	"endothelial cell"
"loop of henle cells"	"epithelial cell"
"neuronal cells"	"neuronal cell"
"juxtaglomerular cells"	"specialized cell"
"germinal center b cells"	"B cell"
"memory b cells"	"B cell"
"ribosomal protein-associated cells"	"other"
"memory t cells"	"t/nk cell"
"progenitor b cells"	"B cell"
"thyrocyte"	"epithelial cell"
"proton pump cell"	"epithelial cell"
"renal tubular cell"	"epithelial cell"
"ovarian follicle cell"	"epithelial cell"
"1.16034698486328"	"other"
"olfactory cells"	"epithelial cell"
"proximal tubule epithelial cells"	"epithelial cell"
"renal epithelial cells"	"epithelial cell"
"cl:0009116"	"other"
"cl:0000485"	"other"
"0.233440923690796"	"other"
"cornified envelope keratinocyte"	"epithelial cell"
"interstitial cell of cajal"	"other"
"squamous epithelial cell"	"epithelial cell"
"cl:0002092"	"other"
"dermal papilla cell"	"other"
"cl:0000787"	"other"
"conjunctival epithelial cells"	"epithelial cell"
"lacrimal gland cells"	"gland cell"
"choroid plexus epithelial cells"	"epithelial cell"
"ribosomal protein pseudogene"	"other"
"mature dendritic cells"	"immune cell"
"serous acinar cell"	"gland cell"
"salivary gland duct cell"	"epithelial cell"
"stellate"	"other"
"pp"	"other"
"epsilon"	"progenitor cell"
"pancreatic progenitor"	"epithelial cell"
"gastric"	"neuron"
"parasympathetic neuron"	"connective tissue cell"
"synovial"	"neuron"
"retinal bipolar"	"epithelial cell"
"alveolar type 2 cells"	"epithelial cell"
"alveolar type 1 cells"	"epithelial cell"
"secretory club cell"	"connective tissue cell"
"interstitial fibroblast"	"epithelial cell"
"collecting duct"	NA
"stressed cell"	"other"
"ribosomal protein cell"	"other"
"mhc class ii"	"immune cell"
"kidney proximal tubule cell"	"epithelial cell"
"trophoblast"	"epithelial cell"
"oviduct epithelial cell"	"epithelial cell"
"luminal cells"	"epithelial cell"
"luminal cell"	"epithelial cell"
"alveolar type 1 cells"	"epithelial cell"
"rod photoreceptor cell"	"neuronal cell"
"muller glia"	"glial cell"
"corneal stromal cell"	"connective tissue cell"
"lacrimal gland cell"	"secretory cell"
"extracellular matrix cell"	"connective tissue cell"
"lgr5+ stem cells"	"stem cell"
"tendons"	"connective tissue cell"
"acini"	"secretory cell"
"innate lymphoid cell"	"t/nk cell"
"adrenal medulla cell"	"endocrine cell"
"red blood cell progenitor"	"erythroid cell"
"fetal kidney cell"	"kidney cell"
"epidermal keratinocyte"	"epithelial cell"
"fetal liver cell"	"liver cell"
"respiratory epithelial cell"	"epithelial cell"
"b cell precursor"	"B cell"
"liver stellate cell"	"stromal cell"
"thyroid follicular cells"	"epithelial cell"
"cartilage cells"	"connective tissue cell"
"pancreatic acinar cells"	"epithelial cell"
"gastric gland cells"	"epithelial cell"
"mammary epithelial cell"	"epithelial cell"
"alveolar type ii pneumocyte"	"epithelial cell"
"gastric parietal cell"	"epithelial cell"
"adrenal cortex cell"	"endocrine cell"
"esophageal squamous epithelial cell"	"epithelial cell"
"interstitial cell"	"stromal cell"
"cancer-associated fibroblast"	"stromal cell"
"proximal tubule"	"epithelial cell"
"gastrointestinal cell"	"epithelial cell"
"lung stem cell"	"stem cell"
"pulmonary artery smooth muscle cell"	"muscle cell"
"muscle"	"muscle cell"
"mucus secreting cell"	"epithelial cell"
"pancreatic stellate cell"	"stromal cell"
"basal prostate epithelial cell"	"epithelial cell"
"mucous acinar cell"	"epithelial cell"
"classical dendritic cell"	"myeloid cell"
"t cell, proliferating"	"t/nk cell"
"excitatory neuron"	"neuronal cell"
"inhibitory neuron"	"neuronal cell"
"renal progenitor cell"	"progenitor cell"
"erythrocyte progenitor cell"	"progenitor cell"
"cerebellar neuron"	"neuronal cell"
"kidney progenitor cells"	"progenitor cell"
"pancreatic progenitor cells"	"progenitor cell"
"gastric chief cells"	"epithelial cell"
"cholinergic neurons"	"neuronal cell"
"ciliated cells"	"epithelial cell"
"gastric parietal cells"	"epithelial cell"
"retinal bipolar cells"	"neuronal cell"
"enteroendocrine cells"	"epithelial cell"
"lens fiber cells"	"epithelial cell"
"lung interstitial cells"	"stromal cell"
"at2 cells"	"epithelial cell"
"megakaryocyte/erythroid progenitor"	"progenitor cell"
"proerythroblast"	"progenitor cell"
"natural killer-t cell"	"t/nk cell"
"megakaryoblast"	"progenitor cell"
"at2 cell"	"epithelial cell"
"cardiac cells"	"muscle cell"
"nk-t cells"	"t/nk cell"
"antigen presenting cell"	"immune cell"
"type 2 pneumocyte"	"epithelial cell"
"esophageal squamous epithelial cell"	"epithelial cell"
"esophageal basal cell"	"epithelial cell"
"conjunctival epithelial cell"	"epithelial cell"
"rod photoreceptor cell"	"neural cell"
"lacrimal gland cell"	"secretory cell"
"bile duct cell"	"epithelial cell"
"oligodendrocyte precursor cells"	"progenitor cell"
"glial cells"	"glial cell"
"kidney epithelial cells"	"epithelial cell"
"stromal cells"	"stromal cell"
"airway epithelial cells"	"epithelial cell"
"principal cells of collecting duct"	"epithelial cell"
"intercalated cells of collecting duct"	"epithelial cell"
"tubule epithelial cells"	"epithelial cell"
"distal nephron cells"	"epithelial cell"
"t cell precursors"	"t/nk cell"
"conventional dendritic cells type 1"	"antigen presenting cell"
"conventional dendritic cells type 2"	"antigen presenting cell"
"developing lymphocytes"	"lymphocyte"
"m2 macrophages"	"myeloid cell"
"arterial endothelial cells"	"endothelial cell"
"venous endothelial cells"	"endothelial cell"
"hepatic endothelial cells"	"endothelial cell"
"mesenchymal stromal cells"	"stromal cell"
"antigen presenting cells"	"antigen presenting cell"
"thyroid follicular cells"	"epithelial cell"
"kidney intercalated cells"	"epithelial cell"
"ductal epithelial cells"	"epithelial cell"
"renal epithelial cells"	"epithelial cell"
"osteoclasts"	"myeloid cell"
"sperm cells"	"germ cell"
"gastric epithelial cells"	"epithelial cell"
"mammary gland epithelial cells"	"epithelial cell"
"luminal epithelial cells"	"epithelial cell"
"basal keratinocytes"	"epithelial cell"
"suprabasal keratinocytes"	"epithelial cell"
"differentiated keratinocytes"	"epithelial cell"
"granular keratinocytes"	"epithelial cell"
"dermal fibroblasts"	"stromal cell"
"interstitial cells of cajal"	"stromal cell"
"surface epithelial cells"	"epithelial cell"
"t/nk cells"	"t/nk cell"
"stromal fibroblasts"	"stromal cell"
"fast skeletal muscle fibers"	"muscle cell"
"muscle stem cells"	"muscle cell"
"granular keratinocytes"	"epithelial cell"
"epidermal keratinocytes"	"epithelial cell"
"dendritic cell precursor"	"myeloid cell"
"megakaryocyte precursor"	"megakaryocyte"
"corneal/conjunctival epithelial cells"	"epithelial cell"
"corneal stromal cells"	"stromal cell"
"lacrimal gland cells"	"epithelial cell"
"adipocyte precursors"	"adipocyte"
"enteric glia"	"glial cell"
"connective tissue fibroblasts"	"fibroblast"
"pancreatic stellate cells"	"stromal cell"
"gamma cells"	"endocrine cell"
"luminal/urothelial cells"	"epithelial cell"
"serous acinar cells"	"secretory cell"
"cytotoxic nk cells"	"t/nk cell"
"innate lymphoid cells"	"t/nk cell"
"cd4+ cytotoxic t cell"	"t/nk cell"
"cd4+ regulatory t cell"	"t/nk cell"
"natural killer (nk) cells"	"t/nk cell"
"erythroblasts"	"erythroid cell"
"myeloid progenitors"	"myeloid cell"
"natural killer t (nkt) cells"	"t/nk cell"
"mesenchyme/stromal cells"	"mesenchymal cell"
"adrenal cells"	"adrenal cell"
"mucinous cell"	"epithelial cell"
"pulmonary fibroblast"	"mesenchymal cell"
"mitotic cell population"	"mitotic cell"
"perivascular or mesenchymal cell population"	"mesenchymal cell"
"club cell or secretory cell population"	"epithelial cell"
"endothelial or platelet-associated cell population"	"endothelial cell"
"mesenchymal cell population"	"mesenchymal cell"
"smooth muscle cell population"	"mesenchymal cell"
"endothelial cell population"	"endothelial cell"
"platelet or megakaryocyte population"	"platelet/megakaryocyte"
"natural killer cell population"	"t/nk cell"
"clara cell or airway secretory cell population"	"epithelial cell"
"ciliated cell population"	"epithelial cell"
